ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_MaskLocation,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label
344,1,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,131,15,8593.978,1
344,2,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,320,36,3014.120,2
344,3,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,442,42,12554.681,3
344,4,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,284,56,11184.626,4
344,5,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,402,60,1394.965,5
344,6,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,322,73,1170.774,6
344,7,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,112,83,5256.027,7
344,8,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,93,89,996.403,8
344,9,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,373,97,4060.343,9
344,10,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0074--fsk--0.32\P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0074--fsk--0.32/P001--fsk--0.32/demoplate_01--fsk--0.32--W0074--P001--T0000--C00--masks.tif,fsk,0.32,demoplate_01--fsk--0.32--W0074--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.32,0000,0074,W0074--fsk--0.32,94,106,4159.984,10
